DTE;BARRIS;POBLACIO;LLARS;OCUPACIOMITJANA
1;1. el Raval;48471;17000;2,9
1;2. el Barri Gòtic;15911;6638;2,4
1;3. la Barceloneta;15181;6881;2,2
1;4. Sant Pere, Santa Caterina i la Ribera;22674;10021;2,3
2;5. el Fort Pienc;31785;12978;2,4
2;6. la Sagrada Família;51562;22019;2,3
2;7. la Dreta de l Eixample;43749;18518;2,4
2;8. l Antiga Esquerra de l Eixample;41975;18282;2,3
2;9. la Nova Esquerra de l Eixample;57863;24561;2,4
2;10. Sant Antoni;38369;16459;2,3
3;11. el Poble Sec - Parc Montjuïc;40674;16092;2,5
3;12. la Marina del Prat Vermell - Zona Franca;1151;447;2,6
3;13. la Marina de Port;30286;11784;2,6
3;14. la Font de la Guatlla;10406;4335;2,4
3;15. Hostafrancs;15919;6579;2,4
3;16. la Bordeta;18451;7505;2,5
3;17. Sants - Badal;24245;10012;2,4
3;18. Sants;41102;17307;2,4
4;19. les Corts;46205;19039;2,4
4;20. la Maternitat i Sant Ramon;23735;9609;2,5
4;21. Pedralbes;11670;4224;2,8
5;22. Vallvidrera, el Tibidabo i les Planes;4615;1568;2,9
5;23. Sarrià;24691;8879;2,8
5;24. les Tres Torres;16381;5570;2,9
5;25. Sant Gervasi - la Bonanova;25378;9336;2,7
5;26. Sant Gervasi - Galvany;46648;18498;2,5
5;27. el Putxet i el Farró;29041;12148;2,4
6;28. Vallcarca i els Penitents;15454;6452;2,4
6;29. el Coll;7307;3045;2,4
6;30. la Salut;13256;5435;2,4
6;31. la Vila de Gràcia;50680;22939;2,2
6;32. el Camp d en Grassot i Gràcia Nova;34146;14795;2,3
7;33. el Baix Guinardó;25587;10854;2,4
7;34. Can Baró;8887;3757;2,4
7;35. el Guinardó;35698;15109;2,4
7;36. la Font d en Fargues;9467;3692;2,6
7;37. el Carmel;31728;12793;2,5
7;38. la Teixonera;11379;4729;2,4
7;39. Sant Genís dels Agudells;6865;2859;2,4
7;40. Montbau;5082;2109;2,4
7;41. la Vall d Hebron;5422;2187;2,5
7;42. la Clota;529;226;2,3
7;43. Horta;26591;10722;2,5
8;44. Vilapicina i la Torre Llobeta;25500;10442;2,4
8;45. Porta;24424;10175;2,4
8;46. el Turó de la Peira;15471;6189;2,5
8;47. Can Peguera;2288;933;2,5
8;48. la Guineueta;15090;6178;2,4
8;49. Canyelles;7014;2810;2,5
8;50. les Roquetes;15668;5869;2,7
8;51. Verdun;12239;5056;2,4
8;52. la Prosperitat;26171;10720;2,4
8;53. la Trinitat Nova;7462;2925;2,6
8;54. Torre Baró;2682;894;3
8;55. Ciutat Meridiana;10356;3588;2,9
8;56. Vallbona;1353;473;2,9
9;57. la Trinitat Vella;10268;3506;2,9
9;58. Baró de Viver;2508;963;2,6
9;59. el Bon Pastor;12758;4656;2,7
9;60. Sant Andreu;56496;23359;2,4
9;61. la Sagrera;28914;11690;2,5
9;62. el Congrés i els Indians;14076;5919;2,4
9;63. Navas;21949;8957;2,5
10;64. el Camp de l Arpa del Clot;38130;16289;2,3
10;65. el Clot;27082;10803;2,5
10;66. el Parc i la Llacuna del Poblenou;14814;6087;2,4
10;67. la Vila Olímpica del Poblenou;9391;3548;2,6
10;68. el Poblenou;33425;13551;2,5
10;69. Diagonal Mar i el Front Marítim del Poblenou;13351;5438;2,5
10;70. el Besòs i el Maresme;23191;8403;2,8
10;71. Provençals del Poblenou;20184;8054;2,5
10;72. Sant Martí de Provençals;26018;10623;2,4
10;73. la Verneda i la Pau;28903;11476;2,5
;No consta;1;1;
