DTE;BARRIS;TOTAL;HOMES;DONES
1;1. el Raval;48471;26612;21859
1;2. el Barri Gòtic;15911;8420;7491
1;3. la Barceloneta;15181;7562;7619
1;4. Sant Pere, Santa Caterina i la Ribera;22674;11376;11298
2;5. el Fort Pienc;31785;14974;16811
2;6. la Sagrada Família;51562;23673;27889
2;7. la Dreta de l Eixample;43749;20088;23661
2;8. l Antiga Esquerra de l Eixample;41975;19351;22624
2;9. la Nova Esquerra de l Eixample;57863;26806;31057
2;10. Sant Antoni;38369;18073;20296
3;11. el Poble Sec - AEI Parc Montjuïc;40674;20078;20596
3;12. la Marina del Prat Vermell - AEI Zona Franca;1151;584;567
3;13. la Marina de Port;30286;14632;15654
3;14. la Font de la Guatlla;10406;4901;5505
3;15. Hostafrancs;15919;7655;8264
3;16. la Bordeta;18451;8723;9728
3;17. Sants - Badal;24245;11359;12886
3;18. Sants;41102;19524;21578
4;19. les Corts;46205;21510;24695
4;20. la Maternitat i Sant Ramon;23735;11084;12651
4;21. Pedralbes;11670;5455;6215
5;22. Vallvidrera, el Tibidabo i les Planes;4615;2238;2377
5;23. Sarrià;24691;11478;13213
5;24. les Tres Torres;16381;7639;8742
5;25. Sant Gervasi - la Bonanova;25378;11685;13693
5;26. Sant Gervasi - Galvany;46648;21019;25629
5;27. el Putxet i el Farró;29041;13165;15876
6;28. Vallcarca i els Penitents;15454;7139;8315
6;29. el Coll;7307;3443;3864
6;30. la Salut;13256;6060;7196
6;31. la Vila de Gràcia;50680;22986;27694
6;32. el Camp d en Grassot i Gràcia Nova;34146;15635;18511
7;33. el Baix Guinardó;25587;11794;13793
7;34. Can Baró;8887;4174;4713
7;35. el Guinardó;35698;16544;19154
7;36. la Font d en Fargues;9467;4508;4959
7;37. el Carmel;31728;15248;16480
7;38. la Teixonera;11379;5498;5881
7;39. Sant Genís dels Agudells;6865;3220;3645
7;40. Montbau;5082;2259;2823
7;41. la Vall d Hebron;5422;2584;2838
7;42. la Clota;529;259;270
7;43. Horta;26591;12551;14040
8;44. Vilapicina i la Torre Llobeta;25500;11734;13766
8;45. Porta;24424;11488;12936
8;46. el Turó de la Peira;15471;7117;8354
8;47. Can Peguera;2288;1097;1191
8;48. la Guineueta;15090;7037;8053
8;49. Canyelles;7014;3361;3653
8;50. les Roquetes;15668;7597;8071
8;51. Verdun;12239;5647;6592
8;52. la Prosperitat;26171;12423;13748
8;53. la Trinitat Nova;7462;3553;3909
8;54. Torre Baró;2682;1347;1335
8;55. Ciutat Meridiana;10356;5163;5193
8;56. Vallbona;1353;664;689
9;57. la Trinitat Vella;10268;5363;4905
9;58. Baró de Viver;2508;1218;1290
9;59. el Bon Pastor;12758;6418;6340
9;60. Sant Andreu;56496;26637;29859
9;61. la Sagrera;28914;13528;15386
9;62. el Congrés i els Indians;14076;6383;7693
9;63. Navas;21949;10236;11713
10;64. el Camp de l Arpa del Clot;38130;17874;20256
10;65. el Clot;27082;13037;14045
10;66. el Parc i la Llacuna del Poblenou;14814;7170;7644
10;67. la Vila Olímpica del Poblenou;9391;4610;4781
10;68. el Poblenou;33425;16243;17182
10;69. Diagonal Mar i el Front Marítim del Poblenou;13351;6499;6852
10;70. el Besòs i el Maresme;23191;11889;11302
10;71. Provençals del Poblenou;20184;9748;10436
10;72. Sant Martí de Provençals;26018;12219;13799
10;73. la Verneda i la Pau;28903;13784;15119
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
